Ra	Dec
0	-81.86989765
161.0706288	-81.38817675
145.57242	-80.12024817
134.1985862	-78.32450475
126.0717608	-76.21408576
120.1799114	-73.9231017
115.787564	-71.53070849
112.4153629	-69.08457834
109.7555765	-66.61484969
107.6075227	-64.14161956
105.8369732	-61.67895257
104.3516806	-59.23708707
103.0865788	-56.82369688
101.9946639	-54.44464427
101.0412401	-52.10444963
100.2001955	-49.80659841
99.45153508	-47.55375133
98.77970759	-45.34789561
98.17244752	-43.19045869
97.61995802	-41.08239745
97.11432409	-39.02427083
96.64908432	-37.01630031
96.21891372	-35.05842168
95.81938559	-33.1503296
95.44679061	-31.29151662
95.09799761	-29.48130725
94.7703455	-27.71888786
94.4615584	-26.00333292
94.16967846	-24.33362793
93.89301225	-22.70868936
93.63008752	-21.12738201
93.3796182	-19.58853393
93.14047585	-18.09094931
92.91166613	-16.63341935
92.6923094	-15.21473157
92.48162456	-13.8336776
92.27891558	-12.48905961
92.08356009	-11.17969568
91.89499991	-9.904424159
91.71273282	-8.662107072
91.53630571	-7.451632914
91.36530865	-6.271918715
91.1993698	-5.121911584
91.03815101	-4.00058979
90.88134409	-2.906963447
90.72866747	-1.840074869
90.57986336	-0.7989986518
90.43469522	0.2171584761
90.29294564	1.209257987
90.15441433	2.178130038
90.01891647	3.124574078
89.88628124	4.049359551
89.75635042	4.953226666
89.62897727	5.83688723
89.50402548	6.701025515
89.3813682	7.546299152
89.26088726	8.373340037
89.14247234	9.182755249
89.02602042	9.975127957
88.91143504	10.75101833
88.79862587	11.51096442
88.68750815	12.25548305
88.57800229	12.98507065
88.47003344	13.7002041
88.36353112	14.40134153
88.25842893	15.08892311
88.15466422	15.76337182
88.05217779	16.42509414
87.95091371	17.07448078
87.85081901	17.71190734
87.75184355	18.33773499
87.65393975	18.95231104
87.55706248	19.55596958
87.46116886	20.14903205
87.3662181	20.73180774
87.27217142	21.30459437
87.17899187	21.86767855
87.08664421	22.42133628
86.99509486	22.96583339
86.90431173	23.501426
86.81426418	24.02836089
86.7249229	24.54687594
86.63625984	25.05720051
86.54824816	25.55955575
86.46086212	26.05415501
86.37407704	26.54120411
86.28786925	27.0209017
86.20221601	27.49343954
86.11709546	27.95900278
86.03248661	28.41777023
85.94836923	28.86991463
85.86472385	29.31560291
85.78153174	29.7549964
85.69877482	30.18825106
85.61643565	30.61551771
85.5344974	31.03694223
