Ra	Dec
103.6727665	-43.3955328
102.6302558	-41.17405338
101.7374206	-39.13549672
100.9616512	-37.25689997
100.2793259	-35.51881894
99.67290089	-33.90475624
99.12906269	-32.40066626
98.6375164	-30.99454036
98.19016876	-29.67606445
97.78056373	-28.43633829
97.40348381	-27.26764576
97.05466304	-26.16326666
96.73057659	-25.11732223
96.42828425	-24.12464785
96.14531216	-23.1806878
95.87956236	-22.2814078
95.6292428	-21.42322205
95.39281251	-20.60293216
95.1689383	-19.81767565
94.95646015	-19.06488254
94.75436346	-18.3422384
94.56175642	-17.64765294
94.37785158	-16.97923309
94.20195071	-16.33525988
94.03343217	-15.71416855
93.87174045	-15.1145313
93.71637741	-14.53504237
93.56689484	-13.97450494
93.42288823	-13.43181986
93.2839914	-12.90597558
93.14987196	-12.39603946
93.0202274	-11.90115001
92.89478169	-11.4205101
92.77328238	-10.9533809
92.65549805	-10.49907651
92.54121614	-10.05695919
92.43024093	-9.62643509
92.32239195	-9.206950462
92.21750238	-8.797988212
92.11541785	-8.399064854
92.01599515	-8.009727736
91.91910131	-7.629552562
91.82461259	-7.258141135
91.73241373	-6.895119327
91.64239716	-6.540135234
91.55446239	-6.192857499
91.46851539	-5.852973793
91.38446807	-5.520189427
91.3022378	-5.194226081
91.22174698	-4.874820654
91.14292266	-4.561724202
91.06569616	-4.25470097
90.99000279	-3.953527503
90.91578149	-3.657991824
90.84297465	-3.36789269
90.77152779	-3.08303889
90.7013894	-2.803248617
90.63251067	-2.528348868
90.56484537	-2.258174908
90.49834964	-1.992569758
90.43298185	-1.731383734
90.36870244	-1.474474011
90.3054738	-1.221704222
90.24326013	-0.972944082
90.18202737	-0.7280690452
90.12174302	-0.4869599774
90.06237612	-0.2495028564
90.00389712	-0.01558849096
89.9462778	0.214887742
89.8894912	0.442026142
89.83351154	0.6659229145
89.77831415	0.8866703852
89.72387544	1.104357201
89.67017278	1.319068519
89.61718451	1.53088618
89.56488985	1.739888878
89.51326887	1.946152316
89.46230243	2.149749347
89.41197217	2.350750118
89.36226042	2.549222197
89.31315021	2.745230692
89.26462522	2.938838374
89.21666974	3.130105775
89.16926864	3.319091301
89.12240737	3.50585132
89.0760719	3.690440258
