Ra	Dec
260	51.6
262.5838069	51.57162693
265.1631978	51.4865472
267.731817	51.34501103
270.2835048	51.14751769
272.8124019	50.89480409
275.3130403	50.58782865
277.7804188	50.22775145
280.210061	49.81591123
282.5980541	49.35380063
284.9410704	48.84304021
287.2363704	48.28535254
289.4817924	47.6825369
291.675728	47.03644534
293.8170886	46.34896064
295.9052644	45.6219764
297.9400783	44.85737966
299.9217377	44.05703584
301.8507859	43.22277628
303.728054	42.35638804
305.5546158	41.45960587
307.3317448	40.53410624
309.060876	39.58150299
310.7435703	38.60334464
312.3814839	37.60111285
313.9763412	36.57622209
315.5299116	35.53002014
317.0439897	34.46378928
318.5203788	33.37874808
319.9608771	32.27605362
321.367267	31.15680396
322.7413061	30.02204091
324.0847204	28.8727529
325.3991993	27.70987787
326.6863918	26.53430633
327.9479041	25.3468842
329.1852986	24.14841582
330.4000927	22.93966672
331.5937593	21.7213664
332.7677276	20.49421097
333.9233842	19.25886572
335.0620746	18.01596755
336.1851053	16.76612732
337.2937456	15.5099321
338.3892301	14.24794728
339.4727611	12.9807186
340.545511	11.70877414
341.6086249	10.43262617
342.6632235	9.152772917
343.7104053	7.869700283
344.7512498	6.583883528
345.7868197	5.295788845
346.8181639	4.005874921
347.8463205	2.714594447
348.8723187	1.422395597
349.8971822	0.1297234914
350.9219317	-1.16297837
351.9475875	-2.455266673
352.9751722	-3.746696857
354.0057137	-5.036821679
355.0402474	-6.325189764
356.0798194	-7.611344126
357.1254887	-8.894820666
358.1783304	-10.17514663
359.2394382	-11.45183903
0.3099268109	-12.72440299
1.390935123	-13.99233005
2.483628488	-15.25509641
3.589201441	-16.51216106
4.708880206	-17.76296388
5.843925124	-19.00692362
6.995632962	-20.24343577
8.165339046	-21.47187037
9.354419172	-22.69156969
10.56429125	-23.90184583
11.79641657	-25.10197815
13.05230066	-26.29121071
14.33349353	-27.46874948
15.64158931	-28.63375958
16.97822506	-29.78536236
18.34507853	-30.92263251
19.74386481	-32.04459504
21.17633157	-33.15022241
22.64425264	-34.23843159
24.14941972	-35.30808134
25.69363185	-36.35796966
27.27868243	-37.38683148
28.90634336	-38.39333684
30.5783461	-39.37608954
32.29635922	-40.33362645
34.06196237	-41.2644177
35.87661622	-42.16686791
37.74162854	-43.03931862
39.65811631	-43.88005223
41.62696417	-44.6872976
43.64877964	-45.4592376
45.72384603	-46.19401872
47.85207387	-46.88976306
50.03295266	-47.54458268
52.26550448	-48.15659646
54.54824189	-48.72394935
56.87913242	-49.24483388
59.25557241	-49.71751363
61.67437289	-50.14034811
64.13175988	-50.51181857
66.62339136	-50.83055383
69.14439217	-51.09535536
71.68940742	-51.30522059
74.25267384	-51.4593635
76.8281073	-51.55723157
79.40940362	-51.59851823
81.99014882	-51.58317028
84.56393408	-51.51138977
87.12447054	-51.38363036
89.66569879	-51.20058819
92.18188857	-50.96318791
94.66772489	-50.67256423
97.11837769	-50.33004021
99.5295535	-49.93710289
101.8975286	-49.49537755
104.2191643	-49.00660126
106.4919057	-48.47259688
108.7137666	-47.895248
110.8833017	-47.27647561
