Ra	Dec
61.39585413	15.1887068
60.97018751	15.35526299
60.55010775	15.51858246
60.13546469	15.67875772
59.72611377	15.83587781
59.32191584	15.99002844
58.92273679	16.14129215
58.52844741	16.28974846
58.13892312	16.43547398
57.75404376	16.57854257
57.37369338	16.71902543
56.99776008	16.85699125
56.6261358	16.99250626
56.25871618	17.12563442
55.89540035	17.25643743
55.53609082	17.38497488
55.18069335	17.51130434
54.82911674	17.63548139
54.48127278	17.75755978
54.13707607	17.87759143
53.79644396	17.99562658
53.45929636	18.11171377
53.1255557	18.2259
52.79514681	18.33823073
52.46799682	18.44874995
52.14403507	18.55750025
51.82319302	18.6645229
51.50540416	18.76985783
51.19060398	18.87354375
50.87872982	18.97561817
50.56972086	19.07611745
50.26351801	19.17507682
49.96006387	19.27253047
49.65930266	19.36851155
49.36118018	19.46305221
49.0656437	19.55618366
48.77264197	19.64793618
48.48212511	19.7383392
48.19404463	19.82742124
47.90835329	19.91521004
47.62500515	20.00173253
47.34395545	20.08701488
47.06516062	20.17108251
46.78857822	20.25396015
46.5141669	20.33567182
46.24188636	20.41624087
45.97169731	20.49569005
45.70356148	20.57404143
45.43744153	20.65131653
45.17330104	20.72753627
44.91110449	20.80272101
44.65081724	20.87689056
44.39240546	20.95006424
44.13583614	21.02226082
43.88107707	21.09349861
43.62809678	21.16379543
43.37686454	21.23316865
43.12735035	21.30163519
42.87952488	21.36921156
42.63335949	21.4359138
42.38882618	21.50175762
42.14589758	21.56675827
41.90454695	21.63093066
41.66474812	21.69428932
41.42647551	21.75684843
41.1897041	21.81862183
40.95440941	21.87962299
40.7205675	21.93986511
40.48815493	21.99936102
40.25714875	22.05812327
40.02752652	22.11616413
39.79926626	22.17349554
39.57234644	22.2301292
39.34674597	22.28607651
39.12244423	22.34134862
38.89942097	22.39595641
38.67765638	22.44991053
38.45713104	22.50322137
38.23782593	22.55589909
38.01972239	22.60795363
37.80280213	22.6593947
37.58704722	22.71023178
37.37244009	22.76047417
