Ra	Dec
0	75.96375653
155.934442	74.4810176
138.327637	71.00219233
126.7994047	66.46295292
119.1514075	61.46519491
113.8213444	56.32719717
109.9133481	51.22022947
106.919423	46.24122501
104.5407232	41.44611564
102.5932723	36.86600887
100.9587982	32.51598255
99.55827854	28.40044533
98.33710805	24.51669402
97.25643382	20.85739183
96.28789687	17.41232807
95.4103299	14.16966727
94.60761904	11.11682464
93.86728106	8.241066361
93.17949323	5.529908503
92.53641728	2.971370355
91.93171898	0.5541242091
91.36022055	-1.732427132
90.81764523	-3.898122167
90.3004266	-5.952045233
89.80556452	-7.90255191
89.33051479	-9.757306986
88.87310374	-11.52332922
88.43146145	-13.20703905
88.0039689	-14.81430655
87.58921592	-16.35049821
87.18596737	-17.82052131
86.79313572	-19.22886545
86.40975863	-20.579641
86.03498064	-21.87661431
85.66803789	-23.12323992
85.30824548	-24.32268966
84.95498689	-25.47787914
84.60770502	-26.59149153
84.26589469	-27.66599912
83.9290962	-28.70368265
83.59688983	-29.70664876
83.26889119	-30.67684571
82.94474714	-31.61607747
82.62413229	-32.52601648
82.30674598	-33.40821514
81.99230961	-34.26411609
81.68056437	-35.09506161
81.37126914	-35.902302
81.06419877	-36.68700324
80.75914247	-37.45025385
80.45590242	-38.19307118
80.15429257	-38.91640702
79.85413745	-39.62115282
79.55527129	-40.3081443
79.25753707	-40.97816574
78.96078576	-41.63195384
78.66487559	-42.27020125
78.36967144	-42.89355985
78.07504426	-43.5026436
77.78087051	-44.09803135
77.48703173	-44.68026924
77.1934141	-45.24987297
76.89990801	-45.80732995
76.60640776	-46.3531011
76.31281122	-46.88762274
76.01901948	-47.41130809
75.72493665	-47.92454885
75.43046954	-48.42771654
75.13552748	-48.92116379
74.84002209	-49.40522548
74.54386705	-49.88021989
74.24697796	-50.34644967
73.94927217	-50.80420277
73.65066858	-51.25375333
73.35108752	-51.69536247
73.05045065	-52.12927905
72.74868075	-52.55574037
72.44570167	-52.97497279
72.1414382	-53.38719239
71.83581595	-53.79260546
71.52876128	-54.19140908
71.22020118	-54.58379161
70.9100632	-54.96993312
70.59827538	-55.35000584
70.28476615	-55.72417453
69.96946426	-56.09259693
69.65229873	-56.45542402
69.33319879	-56.8128004
69.01209379	-57.16486461
68.68891317	-57.51174939
68.3635864	-57.85358197
68.03604291	-58.19048432
67.70621208	-58.52257338
67.37402315	-58.84996133
67.03940524	-59.17275574
66.70228724	-59.49105984
66.36259781	-59.80497264
66.02026535	-60.11458917
65.67521794	-60.42000059
65.32738335	-60.7212944
64.97668898	-61.01855456
64.62306182	-61.31186165
64.2664285	-61.60129299
63.90671516	-61.88692274
63.54384753	-62.16882209
63.17775086	-62.44705931
62.80834992	-62.72169987
62.43556897	-62.99280655
62.0593318	-63.26043955
61.67956165	-63.52465654
61.29618127	-63.78551278
60.90911289	-64.04306118
60.51827822	-64.2973524
60.12359845	-64.54843487
59.72499428	-64.79635495
59.3223859	-65.0411569
58.91569304	-65.28288299
58.50483493	-65.52157356
58.08973039	-65.75726706
57.67029779	-65.99000012
57.24645512	-66.21980756
56.81812002	-66.4467225
56.38520979	-66.67077635
55.94764144	-66.89199889
55.50533175	-67.11041828
55.05819732	-67.32606113
54.60615461	-67.53895252
54.14912	-67.74911601
53.68700987	-67.95657375
53.21974067	-68.16134642
52.747229	-68.36345332
52.26939167	-68.5629124
51.78614583	-68.75974025
51.29740904	-68.95395217
50.80309939	-69.14556216
50.30313559	-69.33458299
49.79743713	-69.52102616
49.28592437	-69.704902
48.76851868	-69.88621965
48.24514261	-70.06498708
47.71572002	-70.24121112
47.18017622	-70.41489752
46.63843821	-70.58605091
46.09043477	-70.75467487
45.5360967	-70.92077192
44.97535701	-71.08434357
44.40815111	-71.24539033
43.83441703	-71.40391175
43.25409565	-71.55990641
42.6671309	-71.71337197
42.07347005	-71.86430518
41.47306391	-72.01270194
40.8658671	-72.15855729
40.25183832	-72.30186542
39.63094061	-72.44261977
39.00314162	-72.58081298
38.36841392	-72.71643697
37.72673525	-72.84948296
37.07808883	-72.97994149
36.42246363	-73.10780247
35.7598547	-73.2330552
35.09026345	-73.3556884
34.41369793	-73.47569029
33.73017316	-73.59304859
33.03971137	-73.70775055
32.34234233	-73.81978304
31.63810361	-73.92913255
30.92704085	-74.03578527
30.20920803	-74.13972708
29.48466771	-74.24094367
28.75349126	-74.33942054
28.01575909	-74.43514307
27.27156084	-74.52809656
26.52099558	-74.6182663
25.76417191	-74.7056376
25.00120817	-74.79019587
24.23223249	-74.87192665
23.45738286	-74.9508157
22.67680721	-75.02684902
21.89066342	-75.10001292
21.09911926	-75.1702941
20.30235235	-75.23767967
19.50055008	-75.30215722
18.69390944	-75.36371491
17.88263688	-75.42234146
17.06694808	-75.47802626
16.24706766	-75.53075939
15.42322895	-75.58053169
14.59567358	-75.62733481
13.76465117	-75.67116123
12.93041885	-75.71200433
12.09324084	-75.74985845
11.25338795	-75.78471888
10.41113704	-75.81658193
9.566770486	-75.84544496
8.720575577	-75.87130642
7.872843891	-75.89416583
7.023870663	-75.91402386
6.173954127	-75.93088232
5.323394832	-75.94474418
4.472494959	-75.95561355
3.621557613	-75.96349577
2.770886125	-75.96839729
1.92078334	-75.97032579
1.071550919	-75.96929009
0.2234886367	-75.96530017
359.3768937	-75.95836715
358.5320601	-75.94850329
357.6892779	-75.93572192
356.8488326	-75.92003747
356.0110046	-75.90146541
355.1760688	-75.88002221
354.3442935	-75.85572533
353.5159405	-75.82859316
352.6912642	-75.79864499
351.8705114	-75.76590094
351.0539208	-75.73038197
350.2417225	-75.69210977
349.4341382	-75.65110674
348.6313803	-75.60739593
347.8336517	-75.56100103
347.0411463	-75.51194624
346.254048	-75.46025627
345.4725311	-75.40595627
344.6967599	-75.34907181
343.9268889	-75.28962876
343.1630627	-75.22765329
342.4054161	-75.1631718
341.6540738	-75.09621086
340.9091512	-75.02679719
340.1707537	-74.95495758
339.4389775	-74.88071884
338.7139093	-74.80410776
337.9956267	-74.7251511
337.2841986	-74.64387549
336.579685	-74.5603074
335.8821375	-74.47447313
335.1915995	-74.38639875
334.5081066	-74.29611006
333.8316866	-74.20363257
333.1623601	-74.10899142
332.5001404	-74.01221144
331.8450342	-73.91331701
331.1970417	-73.81233213
330.5561568	-73.70928031
329.9223677	-73.60418461
329.2956566	-73.49706759
328.676001	-73.38795129
328.0633728	-73.2768572
327.4577396	-73.16380626
326.8590643	-73.04881884
326.2673056	-72.93191472
325.6824186	-72.81311306
325.1043544	-72.69243244
324.533061	-72.56989076
323.9684829	-72.44550534
323.410562	-72.31929282
322.8592375	-72.19126917
322.3144459	-72.06144974
321.7761216	-71.92984918
321.2441971	-71.79648146
320.7186027	-71.66135991
320.1992674	-71.52449712
319.6861185	-71.38590504
319.1790819	-71.2455949
318.6780825	-71.10357724
318.1830441	-70.95986192
317.6938898	-70.81445809
317.2105417	-70.66737419
316.7329214	-70.51861799
316.2609501	-70.36819651
315.7945485	-70.21611612
315.3336371	-70.06238245
314.8781362	-69.90700043
314.4279661	-69.7499743
313.9830471	-69.59130759
313.5432993	-69.4310031
313.1086435	-69.26906295
312.6790002	-69.10548854
312.2542905	-68.94028056
311.8344358	-68.77343899
311.419358	-68.60496311
311.0089792	-68.43485145
310.6032222	-68.26310186
310.2020103	-68.08971145
309.8052674	-67.91467663
309.412918	-67.73799306
309.0248873	-67.55965568
308.6411011	-67.37965871
308.2614858	-67.19799562
307.8859688	-67.01465914
307.5144779	-66.82964127
307.146942	-66.64293324
306.7832905	-66.45452553
306.4234536	-66.26440784
306.0673623	-66.07256913
305.7149486	-65.87899753
305.3661451	-65.68368044
305.020885	-65.48660441
304.6791028	-65.2877552
304.3407333	-65.08711776
304.0057123	-64.88467618
303.6739766	-64.68041375
303.3454634	-64.47431285
303.0201109	-64.26635503
302.6978581	-64.05652092
302.3786447	-63.84479028
302.0624112	-63.63114193
301.7490987	-63.41555374
301.4386493	-63.19800266
301.1310055	-62.97846462
300.8261109	-62.75691457
300.5239096	-62.53332645
300.2243463	-62.30767315
299.9273664	-62.07992646
299.6329163	-61.85005712
299.3409425	-61.6180347
299.0513926	-61.38382764
298.7642145	-61.14740321
298.479357	-60.90872742
298.1967692	-60.66776505
297.9164008	-60.42447961
297.6382022	-60.17883324
297.3621243	-59.93078675
297.0881185	-59.68029952
296.8161365	-59.42732948
296.5461306	-59.17183307
296.2780538	-58.91376517
296.0118591	-58.65307906
295.7475002	-58.38972636
295.4849312	-58.12365698
295.2241063	-57.85481907
294.9649803	-57.58315892
294.7075082	-57.30862093
294.4516455	-57.03114753
294.1973476	-56.75067909
293.9445705	-56.46715386
293.6932704	-56.18050789
293.4434034	-55.89067492
293.1949261	-55.59758632
292.9477952	-55.30117097
292.7019673	-55.00135516
292.4573994	-54.69806251
292.2140482	-54.39121381
291.9718709	-54.08072696
291.7308243	-53.76651679
291.4908654	-53.44849495
291.2519511	-53.12656977
291.014038	-52.80064611
