Keuwl Accelerometer Data File
2023-07-29 16:03:40

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
49.1692123,0.463609,0.350549,11.470593,11.485309,2.900633,37.093983
49.1882286,0.512662,0.120838,11.526825,11.538853,2.616288,13.262877
49.2072411,0.528216,0.184247,11.274981,11.288850,2.840418,19.229328
49.2262535,0.396012,0.223131,11.283355,11.292506,2.306814,29.398830
49.2452698,0.649651,0.235095,11.241481,11.262691,3.516860,19.894098
49.2642822,0.842274,0.261416,10.923235,10.958778,4.615880,17.242739
49.2832947,0.548555,0.113659,10.893325,10.907720,2.943907,11.705897
49.3023109,0.306281,-0.042473,10.674980,10.679458,1.659182,352.105042
49.3213234,0.455234,-0.145962,10.521241,10.532097,2.601658,342.222565
49.3403358,0.245863,-0.152542,10.443475,10.447482,1.586959,328.182953
49.3593521,0.223729,-0.256032,10.936396,10.941680,1.780812,311.147980
49.3783646,0.341575,-0.500698,11.148759,11.165222,3.111812,304.301758
49.3973770,0.310469,-0.432503,11.301900,11.314433,2.697040,305.672394
49.4163895,0.438485,-0.392423,11.822338,11.836974,2.849500,318.172974
49.4354057,0.681954,-0.238684,12.048460,12.070105,3.431823,340.709961
49.4544182,0.383450,-0.464806,11.338390,11.354390,3.042017,309.521545
49.4734306,-0.051446,-0.643669,10.158729,10.179230,3.637012,265.430298
49.4924469,0.337986,-0.713659,10.063614,10.094546,4.486549,295.342041
49.5114594,0.562912,-0.741775,10.262218,10.304379,5.184704,307.193817
49.5304718,0.652642,-0.806381,11.006984,11.055762,5.384159,308.984894
49.5494881,0.639482,-0.859622,11.644671,11.693855,5.256802,306.645966
49.5685005,0.711865,-0.974477,11.658430,11.720723,5.909793,306.148499
49.5875130,0.495314,-0.949951,11.417354,11.467506,5.360560,297.538025
49.6065292,0.422333,-0.934397,10.926825,10.974833,5.361108,294.322235
49.6255417,0.393021,-0.999003,10.853246,10.906210,5.648959,291.475342
49.6445541,0.477966,-1.091127,11.157732,11.221140,6.093906,293.655731
49.6635704,0.580858,-1.110270,11.771491,11.837995,6.076090,297.617126
49.6825829,0.296710,-1.153939,10.904691,10.969589,6.235550,284.419983
49.7015953,0.247657,-1.177269,10.667802,10.735422,6.434193,281.879852
49.7206078,0.417548,-1.177867,10.923235,10.994489,6.526633,289.519135
49.7396240,0.458226,-1.122832,10.757532,10.825674,6.431999,292.200287
49.7586365,0.506680,-1.101297,10.780863,10.848805,6.415699,294.706024
49.7776489,0.596411,-1.179063,10.964512,11.043840,6.871525,296.831879
49.7966652,0.572483,-1.242473,11.135598,11.219315,7.003731,294.738403
49.8156776,0.500698,-1.207777,11.075778,11.152680,6.732370,292.517029
49.8346863,0.440279,-1.136591,10.798809,10.867381,6.439859,291.174805
49.8537025,0.440878,-1.134796,10.901700,10.969466,6.371999,291.231567
49.8727150,0.412164,-1.159921,10.818549,10.888356,6.491416,289.562042
49.8917274,0.379262,-1.167697,10.752747,10.822611,6.513791,287.993530
49.9107399,0.436092,-1.173679,10.774880,10.847384,6.628240,290.383026
49.9297562,0.391825,-1.159921,10.760524,10.829949,6.491083,288.665131
49.9487686,0.361914,-1.204188,10.954940,11.026865,6.547691,286.727966
49.9677811,0.343370,-1.252643,10.999207,11.075630,6.734642,285.329193
49.9867973,0.333201,-1.221536,10.923235,10.996374,6.611948,285.257507
50.0058098,0.393619,-1.201197,10.989038,11.061500,6.561752,288.143402
50.0248222,0.372084,-1.167099,10.716854,10.786636,6.520802,287.682861
50.0438385,0.486939,-1.143171,10.723434,10.795184,6.609574,293.071808
50.0628510,0.452842,-1.194617,10.746166,10.821842,6.779832,290.760132
50.0818634,0.530010,-1.274776,10.760524,10.848725,7.311073,292.575928
50.1008797,0.495314,-1.210768,11.128420,11.205045,6.704463,292.249023
50.1198921,0.506680,-1.125823,10.914861,10.984461,6.453303,294.230286
50.1389046,0.561117,-1.130609,10.780264,10.853904,6.677996,296.395050
50.1579170,0.485743,-1.215554,10.755139,10.834507,6.939383,291.781952
50.1769333,0.388834,-1.158724,10.653444,10.723326,6.544695,288.550232
50.1959457,0.433699,-1.119243,10.840683,10.906934,6.318324,291.181030
50.2149582,0.385244,-1.159323,10.631909,10.701866,6.554815,288.381714
50.2339745,0.375673,-1.232304,10.809576,10.886075,6.796475,286.954071
50.2529869,0.340977,-1.288535,10.802398,10.884318,7.034054,284.822083
50.2719994,0.373280,-1.290928,10.774880,10.858356,7.109064,286.127563
50.2910156,0.401396,-1.246062,10.892129,10.970518,6.853490,287.855377
50.3100281,0.400798,-1.220938,10.850254,10.926085,6.754328,288.173492
50.3290405,0.410967,-1.170689,10.748559,10.819932,6.584634,289.343506
50.3480568,0.411565,-1.183849,10.735997,10.808909,6.658733,289.170013
50.3670692,0.427717,-1.198206,10.759327,10.834286,6.743721,289.644775
50.3860817,0.439083,-1.224527,10.805388,10.883413,6.864842,289.726501
50.4050941,0.449252,-1.222134,10.816156,10.894250,6.864471,290.183258
50.4241104,0.455833,-1.166501,10.854442,10.926455,6.581745,291.344025
50.4431229,0.164507,-1.192822,10.721042,10.788448,6.408206,277.852356
50.4621353,0.668196,-1.179063,10.823934,10.908447,7.136744,299.540985
50.4811516,0.594018,-1.211366,10.769497,10.853678,7.140646,296.121948
50.5001640,0.512662,-1.247259,10.658829,10.743793,7.210500,292.344177
50.5191765,0.495912,-1.243670,10.748559,10.831628,7.100477,291.739624
50.5381927,0.449851,-1.233500,10.773684,10.853394,6.948281,290.036621
50.5572052,0.378066,-1.214357,10.662417,10.738005,6.802301,287.292938
50.5762177,0.431306,-1.214956,10.779068,10.855895,6.820529,289.544739
50.5952339,0.413958,-1.242473,10.814960,10.893965,6.904500,288.426666
50.6142464,0.379861,-1.235893,10.819147,10.896131,6.814861,287.085175
50.6332588,0.329611,-1.234098,10.779068,10.854490,6.758247,284.953888
50.6522751,0.287737,-1.217349,10.755738,10.828233,6.633682,283.298584
50.6712875,0.336192,-1.197608,10.727622,10.799498,6.614053,285.680450
50.6903000,0.290130,-1.164108,10.627124,10.694629,6.440955,283.994659
50.7093124,0.387637,-1.163510,10.746765,10.816514,6.510238,288.426117
50.7283287,0.432503,-1.185644,10.668400,10.742791,6.746687,290.041107
50.7473373,0.433699,-1.243670,10.713863,10.794520,7.008547,289.224945
50.7663498,0.433101,-1.274178,10.768300,10.852068,7.123620,288.773224
50.7853661,0.448654,-1.247857,10.757532,10.838954,7.027274,289.775543
50.8043785,0.436092,-1.292124,10.893325,10.978355,7.135699,288.649536
50.8233910,0.429512,-1.284348,10.666007,10.751639,7.236167,288.490967
50.8424072,0.392423,-1.274776,10.710873,10.793602,7.098432,287.110291
50.8614197,0.347557,-1.261018,10.738390,10.817762,6.944949,285.409088
50.8804321,0.418146,-1.298106,10.973485,11.057906,7.084407,287.854767
50.8994446,0.295514,-1.302892,10.953146,11.034322,6.954151,282.779236
50.9184608,0.367298,-1.305285,11.367702,11.448289,6.802273,285.716248
50.9374733,0.441476,-1.214956,9.868001,9.952310,7.463086,289.969513
50.9564857,0.074776,-1.043271,10.706685,10.757653,5.579562,274.099640
50.9755020,0.630509,-1.179662,10.816754,10.899143,7.049348,298.123749
50.9945145,0.549153,-1.162912,10.998011,11.072948,6.669592,295.277710
51.0135269,0.516850,-1.229313,10.786246,10.868369,7.047928,292.803741
51.0325432,0.300897,-1.299901,10.567902,10.651799,7.195929,283.033112
51.0515556,0.222533,-1.274178,10.721042,10.798786,6.879313,279.906677
51.0705681,0.381057,-1.170090,10.679168,10.749834,6.573277,288.038605
51.0895844,0.421137,-1.143171,10.686346,10.755566,6.503819,290.223480
51.1085968,0.368495,-1.189233,10.780264,10.851919,6.587910,287.216064
51.1276093,0.424726,-1.227518,10.798809,10.876648,6.858783,289.085815
51.1466217,0.467199,-1.244866,10.706685,10.788933,7.079227,290.571136
51.1656380,0.424726,-1.202992,10.685149,10.761041,6.808671,289.445984
51.1846504,0.434896,-1.130609,10.730015,10.798177,6.441138,291.039551
51.2036629,0.410967,-1.120439,10.736595,10.802720,6.342730,290.142609
51.2226791,0.449252,-1.150349,10.761122,10.831753,6.546703,291.332428
51.2416916,0.462413,-1.205384,10.731212,10.808593,6.860098,290.987946
51.2607040,0.409771,-1.224527,10.791032,10.868015,6.823662,288.502106
51.2797203,0.378664,-1.208974,10.855040,10.928719,6.656848,287.391144
51.2987328,0.360120,-1.228714,10.811371,10.886927,6.754154,286.335144
51.3177452,0.370888,-1.271187,10.773086,10.854162,7.007427,286.265381
51.3367615,0.388235,-1.298106,10.725827,10.811068,7.199663,286.650787
51.3557739,0.458824,-1.267598,10.662417,10.747300,7.205819,289.898407
51.3747864,0.457627,-1.225723,10.673783,10.753673,6.988310,290.473267
51.3938026,0.400200,-1.165305,10.719846,10.790421,6.556670,288.953979
51.4128151,0.375673,-1.162314,10.823934,10.892642,6.438793,287.911438
51.4318275,0.320638,-1.173081,10.861620,10.929488,6.388471,285.287262
51.4508400,0.367298,-1.209572,10.845469,10.918890,6.648181,286.891418
51.4698563,0.416351,-1.204188,10.771890,10.846982,6.745786,289.072968
51.4888687,0.433101,-1.191028,10.760524,10.834897,6.717117,289.983093
51.5078812,0.412762,-1.201795,10.808978,10.883413,6.704902,288.955261
51.5268974,0.378664,-1.253839,10.834103,10.912987,6.893213,286.804504
51.5459099,0.393619,-1.241277,10.779666,10.858034,6.888004,287.594269
51.5649223,0.427119,-1.205384,10.734202,10.810110,6.793906,289.511383
51.5839386,0.485145,-1.244268,10.701900,10.784907,7.113257,291.300995
51.6029510,0.495314,-1.491327,10.512268,10.629072,8.501935,288.372864
51.6219635,0.416351,-1.321436,10.676775,10.766293,7.393668,287.488312
51.6409798,0.622732,-1.220340,10.798809,10.885371,7.230498,297.034943
51.6599884,0.522832,-1.202393,10.850852,10.929780,6.889826,293.500641
51.6790009,0.519841,-1.149153,10.862219,10.935200,6.623238,294.340485
51.6980133,0.454038,-1.170090,10.761720,10.834661,6.652103,291.208099
51.7170296,0.287139,-0.993021,10.612168,10.662395,5.563487,286.127563
51.7360420,0.342772,-0.979263,10.632507,10.683008,5.573271,289.291595
51.7550545,0.233898,-0.885943,10.606186,10.645693,4.937648,284.789246
51.7740707,0.403789,-1.150948,10.795219,10.863908,6.446372,289.332489
51.7930832,0.481556,-1.234697,10.785648,10.866765,7.005075,291.306732
51.8120956,0.470190,-1.235893,10.789836,10.870560,6.986850,290.829071
51.8311119,0.536590,-1.213759,10.798210,10.879452,7.006391,293.849731
51.8501244,0.433101,-1.237687,10.716854,10.796778,6.975836,289.286346
51.8691368,0.395414,-1.198206,10.736595,10.810482,6.702649,288.263153
51.8881493,0.370888,-1.182054,10.768300,10.839331,6.562918,287.420044
51.9071655,0.376271,-1.195813,10.679168,10.752496,6.695213,287.466553
51.9261780,0.490529,-1.218545,10.735997,10.816058,6.975611,291.927399
51.9451904,0.472582,-1.221536,10.796415,10.875572,6.917017,291.150238
51.9642067,0.446860,-1.241277,10.751551,10.832188,6.995464,289.798889
51.9832191,0.395414,-1.178465,10.696515,10.768499,6.628595,288.548309
52.0022316,0.530010,-1.163510,10.831710,10.906906,6.731845,294.490540
52.0212479,0.455234,-1.179063,10.652248,10.726967,6.766512,291.111511
52.0402603,0.476770,-1.271785,10.608580,10.695172,7.295868,290.550140
52.0592728,0.457029,-1.328017,10.808978,10.899840,7.403242,288.990601
52.0782890,0.503689,-1.281955,10.831112,10.918338,7.247221,291.450226
52.0973015,0.480359,-1.210170,10.799407,10.877612,6.874636,291.649872
52.1163139,0.400200,-1.192224,10.767702,10.840893,6.661589,288.555603
52.1353302,0.433101,-1.225125,10.775478,10.853545,6.876148,289.469299
52.1543427,0.409771,-1.236491,10.687542,10.766633,6.949072,288.335114
52.1733551,0.425922,-1.255036,10.733006,10.814525,7.039406,288.745728
52.1923676,0.444467,-1.272982,10.703095,10.787691,7.180126,289.246857
52.2113838,0.422333,-1.247857,10.654043,10.735183,7.048930,288.698212
52.2303963,0.394218,-1.235295,10.726426,10.804517,6.892815,287.699341
52.2494087,0.357727,-1.209572,10.670793,10.745085,6.741482,286.475403
52.2684250,0.385244,-1.214956,10.594820,10.671211,6.859812,287.593048
52.2874374,0.381655,-1.246661,10.705488,10.784586,6.943594,287.021545
52.3064499,0.402592,-1.284348,10.807781,10.891271,7.098902,287.404144
52.3254662,0.458824,-1.323829,11.093724,11.181849,7.198082,289.115723
52.3444786,0.457627,-1.261018,10.470992,10.556575,7.300680,289.945984
52.3634911,0.467797,-1.248455,10.954342,11.035174,6.939157,290.541016
52.3825073,0.433101,-1.256830,10.670793,10.753279,7.101278,289.013824
52.4015198,0.461815,-1.266401,10.584053,10.669547,7.258095,290.035248
52.4205322,0.461815,-1.272982,10.610972,10.697032,7.272731,289.939850
52.4395447,0.485145,-1.274776,10.664810,10.751678,7.288254,290.835449
52.4585609,0.466002,-1.251446,10.750354,10.832976,7.080917,290.423859
52.4775734,0.493520,-1.238884,10.798210,10.880245,7.040298,291.720276
52.4965858,0.458226,-1.254437,10.758131,10.840709,7.076456,290.066437
52.5156021,0.432503,-1.231107,10.722836,10.801940,6.938252,289.356995
52.5346146,0.381655,-1.219741,10.614561,10.691227,6.865700,287.374817
52.5536270,0.372682,-1.228714,10.566107,10.643836,6.928606,286.873108
52.5726433,0.334397,-1.279562,10.606785,10.688919,7.107409,284.645966
52.5916557,0.337388,-1.275374,10.646266,10.727693,7.063859,284.817627
52.6106682,0.362513,-1.232902,10.757532,10.834019,6.812271,286.385040
52.6296768,0.360718,-1.231705,10.896317,10.971642,6.717730,286.323242
52.6486931,0.387637,-1.249652,10.817353,10.896193,6.896570,287.233704
52.6677055,0.399601,-1.255036,10.565509,10.647289,7.105945,287.661407
52.6867180,0.443869,-1.256830,10.596615,10.680117,7.169380,289.451447
52.7057343,0.485743,-1.250250,10.533205,10.618261,7.256960,291.231995
52.7247467,0.491725,-1.251446,10.743176,10.826991,7.133884,291.451111
52.7437592,0.470190,-1.217349,10.711471,10.790673,6.946220,291.118591
52.7627754,0.464806,-1.217947,10.812568,10.890870,6.874721,290.888397
52.7817879,0.470788,-1.228116,10.765309,10.845358,6.965621,290.973907
52.8008003,0.476172,-1.220340,10.713265,10.793055,6.971167,291.315521
52.8198166,0.334397,-1.213759,10.491331,10.566601,6.842865,285.403168
52.8388290,0.715454,-1.187438,10.589437,10.679796,7.458484,301.069763
52.8578415,0.257827,-1.250250,10.634900,10.711242,6.844728,281.652191
52.8768539,0.343968,-1.240080,10.676176,10.753457,6.873209,285.502716
52.8958702,0.272184,-1.247857,10.798809,10.874075,6.745146,282.304688
52.9148827,0.408574,-1.274776,10.752747,10.835753,7.096470,287.770996
52.9338951,0.412762,-1.207179,10.665409,10.741444,6.821305,288.876709
52.9529114,0.473181,-1.192822,10.520643,10.598616,6.954235,291.637726
52.9719238,0.494716,-1.269991,10.619347,10.706453,7.313676,291.283051
52.9909363,0.547358,-1.263410,10.560124,10.649508,7.428616,293.424133
53.0099525,0.289532,-1.207179,10.632507,10.704733,6.659470,283.487152
53.0289650,0.314058,-1.172483,10.645668,10.714644,6.504784,284.995087
53.0479774,0.263809,-1.190429,10.733006,10.802043,6.481258,282.495270
53.0669937,0.381655,-1.270589,10.709078,10.790941,7.061998,286.719025
53.0860062,0.455234,-1.258026,10.682756,10.766204,7.138283,289.893372
53.1050186,0.466002,-1.256232,10.575678,10.660218,7.220615,290.352448
53.1240349,0.454636,-1.279562,10.487144,10.574694,7.377887,289.560455
53.1430473,0.427119,-1.320240,10.633105,10.723264,7.435032,287.927216
53.1620598,0.492323,-1.298705,10.661222,10.751309,7.422380,290.761108
53.1810722,0.422333,-1.270589,10.734800,10.817981,7.109754,288.386383
53.2000885,0.415155,-1.229911,10.703694,10.782120,6.914776,288.652039
